open_time,open,high,low,close,volume,amount,close_time
1714352700000,63217.8300000000000000000000000000,63241.3900000000000000000000000000,63198.0000000000000000000000000000,63223.7800000000000000000000000000,8.94104100,565321.710000000000000000,1714353000000
1714353000000,63223.7800000000000000000000000000,63229.6800000000000000000000000000,63146.8700000000000000000000000000,63188.2800000000000000000000000000,6.80576200,430130.350000000000000000,1714353300000
1714353300000,63188.2800000000000000000000000000,63194.0000000000000000000000000000,63136.7000000000000000000000000000,63154.9900000000000000000000000000,2.77926100,175528.480000000000000000,1714353600000
1714353600000,63154.9900000000000000000000000000,63155.0000000000000000000000000000,63084.1800000000000000000000000000,63109.9900000000000000000000000000,2.60105100,164148.650000000000000000,1714353900000
1714353900000,63109.9900000000000000000000000000,63167.7000000000000000000000000000,63086.2600000000000000000000000000,63167.6900000000000000000000000000,10.32585300,651922.180000000000000000,1714354200000
1714354200000,63167.6900000000000000000000000000,63210.0000000000000000000000000000,63167.6900000000000000000000000000,63209.9900000000000000000000000000,11.72944900,741150.380000000000000000,1714354500000
1714354500000,63209.9900000000000000000000000000,63364.9800000000000000000000000000,63209.9900000000000000000000000000,63298.0000000000000000000000000000,21.22480000,1343683.720000000000000000,1714354800000
1714354800000,63298.0000000000000000000000000000,63298.0100000000000000000000000000,63209.2600000000000000000000000000,63230.0000000000000000000000000000,17.99592500,1137957.500000000000000000,1714355100000
1714355100000,63230.0000000000000000000000000000,63238.5600000000000000000000000000,63184.3100000000000000000000000000,63207.9900000000000000000000000000,18.92725900,1196300.260000000000000000,1714355400000
1714355400000,63207.9900000000000000000000000000,63259.5200000000000000000000000000,63207.9900000000000000000000000000,63236.4000000000000000000000000000,22.39256600,1416100.380000000000000000,1714355700000
1714355700000,63236.4000000000000000000000000000,63242.0000000000000000000000000000,63201.8200000000000000000000000000,63232.0000000000000000000000000000,16.07079400,1016080.130000000000000000,1714356000000
1714356000000,63232.0000000000000000000000000000,63269.5000000000000000000000000000,63232.0000000000000000000000000000,63253.9900000000000000000000000000,19.23266800,1216565.890000000000000000,1714356300000
1714356300000,63253.9900000000000000000000000000,63285.0800000000000000000000000000,63201.8200000000000000000000000000,63285.0700000000000000000000000000,19.56731900,1237208.590000000000000000,1714356600000
1714356600000,63285.0700000000000000000000000000,63285.0700000000000000000000000000,63111.9000000000000000000000000000,63159.9900000000000000000000000000,20.94738500,1323554.370000000000000000,1714356900000
1714356900000,63159.9900000000000000000000000000,63198.6900000000000000000000000000,63122.9500000000000000000000000000,63149.9900000000000000000000000000,19.98225600,1262219.360000000000000000,1714357200000
1714357200000,63149.9900000000000000000000000000,63149.9900000000000000000000000000,63046.8500000000000000000000000000,63133.3700000000000000000000000000,23.24099000,1466440.240000000000000000,1714357500000
1714357500000,63133.3700000000000000000000000000,63137.0200000000000000000000000000,63084.0000000000000000000000000000,63128.0000000000000000000000000000,21.79825400,1375692.090000000000000000,1714357800000
1714357800000,63128.0000000000000000000000000000,63128.0000000000000000000000000000,63077.7700000000000000000000000000,63091.0300000000000000000000000000,23.49666900,1482634.690000000000000000,1714358100000
1714358100000,63091.0300000000000000000000000000,63091.0300000000000000000000000000,62784.0000000000000000000000000000,62814.0000000000000000000000000000,46.02409100,2894664.670000000000000000,1714358400000
1714358400000,62814.0000000000000000000000000000,62814.0000000000000000000000000000,62570.0100000000000000000000000000,62744.6900000000000000000000000000,41.67314000,2612215.530000000000000000,1714358700000
1714358700000,62744.6900000000000000000000000000,62867.6900000000000000000000000000,62690.0000000000000000000000000000,62736.7300000000000000000000000000,36.58949700,2297130.410000000000000000,1714359000000
1714359000000,62736.7300000000000000000000000000,62803.9800000000000000000000000000,62709.8000000000000000000000000000,62755.8400000000000000000000000000,25.33758900,1590165.830000000000000000,1714359300000
1714359300000,62755.8400000000000000000000000000,62770.0000000000000000000000000000,62627.0500000000000000000000000000,62706.3300000000000000000000000000,28.34462700,1777469.290000000000000000,1714359600000
1714359600000,62706.3300000000000000000000000000,62764.8400000000000000000000000000,62501.0000000000000000000000000000,62547.9300000000000000000000000000,43.13511600,2702066.890000000000000000,1714359900000
1714359900000,62547.9300000000000000000000000000,62565.2700000000000000000000000000,62442.5000000000000000000000000000,62505.9300000000000000000000000000,41.53333500,2596257.190000000000000000,1714360200000
1714360200000,62505.9300000000000000000000000000,62608.0000000000000000000000000000,62480.0000000000000000000000000000,62550.0100000000000000000000000000,34.42961200,2153489.470000000000000000,1714360500000
1714360500000,62550.0100000000000000000000000000,62650.0000000000000000000000000000,62535.6800000000000000000000000000,62624.0100000000000000000000000000,30.88393700,1933130.740000000000000000,1714360800000
1714360800000,62624.0100000000000000000000000000,62718.1700000000000000000000000000,62611.1200000000000000000000000000,62718.1700000000000000000000000000,29.05616100,1820681.200000000000000000,1714361100000
1714361100000,62718.1700000000000000000000000000,62733.4000000000000000000000000000,62526.3700000000000000000000000000,62655.7200000000000000000000000000,26.06588300,1632861.600000000000000000,1714361400000
1714361400000,62655.7200000000000000000000000000,62684.5100000000000000000000000000,62462.6300000000000000000000000000,62467.4800000000000000000000000000,32.40955500,2028494.720000000000000000,1714361700000
1714361700000,62467.4800000000000000000000000000,62656.0100000000000000000000000000,62426.2600000000000000000000000000,62655.7700000000000000000000000000,41.22593300,2579462.330000000000000000,1714362000000
1714362000000,62655.7700000000000000000000000000,62679.9900000000000000000000000000,62616.5500000000000000000000000000,62671.8700000000000000000000000000,26.09654100,1634930.970000000000000000,1714362300000
1714362300000,62671.8700000000000000000000000000,62671.8700000000000000000000000000,62606.0000000000000000000000000000,62656.0100000000000000000000000000,26.85561200,1682540.910000000000000000,1714362600000
1714362600000,62656.0100000000000000000000000000,62656.0100000000000000000000000000,62548.8800000000000000000000000000,62613.6500000000000000000000000000,28.41988100,1779019.470000000000000000,1714362900000
1714362900000,62613.6500000000000000000000000000,62613.6500000000000000000000000000,62158.0000000000000000000000000000,62278.8100000000000000000000000000,42.82457900,2675239.190000000000000000,1714363200000
1714363200000,62278.8100000000000000000000000000,62409.9900000000000000000000000000,62202.0000000000000000000000000000,62389.8900000000000000000000000000,55.68275200,3469950.060000000000000000,1714363500000
1714363500000,62389.8900000000000000000000000000,62454.0900000000000000000000000000,62302.4000000000000000000000000000,62438.8200000000000000000000000000,34.35269500,2143493.960000000000000000,1714363800000
1714363800000,62438.8200000000000000000000000000,62471.9100000000000000000000000000,62406.2500000000000000000000000000,62471.9000000000000000000000000000,28.30268000,1767190.830000000000000000,1714364100000
1714364100000,62471.9000000000000000000000000000,62513.2400000000000000000000000000,62428.0000000000000000000000000000,62428.0100000000000000000000000000,29.46933900,1841321.640000000000000000,1714364400000
1714364400000,62428.0100000000000000000000000000,62499.3100000000000000000000000000,62424.0000000000000000000000000000,62488.9100000000000000000000000000,27.96594800,1746676.530000000000000000,1714364700000
1714364700000,62488.9100000000000000000000000000,62560.7400000000000000000000000000,62470.0000000000000000000000000000,62528.0100000000000000000000000000,29.30960100,1832468.850000000000000000,1714365000000
1714365000000,62528.0100000000000000000000000000,62560.7400000000000000000000000000,62505.1200000000000000000000000000,62546.5200000000000000000000000000,30.06319200,1879918.910000000000000000,1714365300000
1714365300000,62546.5200000000000000000000000000,62599.3800000000000000000000000000,62518.9600000000000000000000000000,62570.2500000000000000000000000000,27.61082000,1727061.240000000000000000,1714365600000
1714365600000,62570.2500000000000000000000000000,62639.4000000000000000000000000000,62570.2500000000000000000000000000,62631.4800000000000000000000000000,31.75922400,1988442.660000000000000000,1714365900000
1714365900000,62631.4800000000000000000000000000,62631.4800000000000000000000000000,62570.7300000000000000000000000000,62587.9900000000000000000000000000,24.89510300,1558418.750000000000000000,1714366200000
1714366200000,62587.9900000000000000000000000000,62632.3000000000000000000000000000,62555.2600000000000000000000000000,62555.2600000000000000000000000000,30.26383200,1893877.510000000000000000,1714366500000
1714366500000,62555.2600000000000000000000000000,62561.2700000000000000000000000000,62510.0800000000000000000000000000,62541.9900000000000000000000000000,30.17952200,1887426.880000000000000000,1714366800000
1714366800000,62541.9900000000000000000000000000,62541.9900000000000000000000000000,62450.0000000000000000000000000000,62504.7100000000000000000000000000,30.04619800,1877718.200000000000000000,1714367100000
1714367100000,62504.7100000000000000000000000000,62527.7200000000000000000000000000,62504.7100000000000000000000000000,62510.5900000000000000000000000000,16.24687900,1015722.670000000000000000,1714367400000
1714367400000,62510.5900000000000000000000000000,62517.4800000000000000000000000000,62510.0000000000000000000000000000,62510.0000000000000000000000000000,16.18460800,1011729.820000000000000000,1714367700000
1714367700000,62510.0000000000000000000000000000,62510.0100000000000000000000000000,62393.2900000000000000000000000000,62450.1600000000000000000000000000,21.90330200,1367360.780000000000000000,1714368000000
1714368000000,62450.1600000000000000000000000000,62450.1700000000000000000000000000,62331.1100000000000000000000000000,62331.1100000000000000000000000000,27.67973000,1726515.370000000000000000,1714368300000
1714368300000,62331.1100000000000000000000000000,62392.0000000000000000000000000000,62331.1100000000000000000000000000,62344.0200000000000000000000000000,18.74404900,1168879.710000000000000000,1714368600000
